input,time,cpu,program
50816,94.091,A72,AES
50944,93.716,A72,AES
51072,94.544,A72,AES
51200,94.808,A72,AES
51328,94.683,A72,AES
51456,95.002,A72,AES
51584,95.096,A72,AES
51712,95.467,A72,AES
51840,95.742,A72,AES
51968,95.921,A72,AES
52096,95.941,A72,AES
52224,96.425,A72,AES
52352,96.392,A72,AES
52480,97.167,A72,AES
52608,97.325,A72,AES
52736,97.734,A72,AES
52864,98.022,A72,AES
52992,97.75,A72,AES
53120,98.281,A72,AES
53248,98.187,A72,AES
53376,98.589,A72,AES
53504,98.549,A72,AES
53632,99.026,A72,AES
53760,99.07,A72,AES
53888,99.733,A72,AES
54016,99.789,A72,AES
54144,99.632,A72,AES
54272,99.913,A72,AES
54400,100.146,A72,AES
54528,100.458,A72,AES
54656,100.55,A72,AES
54784,100.794,A72,AES
54912,101.057,A72,AES
55040,101.389,A72,AES
55168,101.826,A72,AES
55296,102.367,A72,AES
55424,101.987,A72,AES
55552,102.359,A72,AES
55680,102.978,A72,AES
55808,102.884,A72,AES
55936,103.035,A72,AES
56064,103.152,A72,AES
56192,103.61,A72,AES
56320,104.183,A72,AES
56448,104.162,A72,AES
56576,104.447,A72,AES
56704,105.112,A72,AES
56832,104.631,A72,AES
56960,104.954,A72,AES
57088,105.547,A72,AES
57216,105.462,A72,AES
57344,105.558,A72,AES
57472,106.114,A72,AES
57600,106.218,A72,AES
57728,106.488,A72,AES
57856,106.57,A72,AES
57984,106.889,A72,AES
58112,107.212,A72,AES
58240,107.414,A72,AES
58368,108.001,A72,AES
58496,108.232,A72,AES
58624,108.439,A72,AES
58752,108.543,A72,AES
58880,108.474,A72,AES
59008,108.644,A72,AES
59136,109.273,A72,AES
59264,109.287,A72,AES
59392,109.925,A72,AES
59520,109.767,A72,AES
59648,109.982,A72,AES
59776,110.007,A72,AES
59904,110.639,A72,AES
60032,110.914,A72,AES
60160,110.866,A72,AES
60288,111.369,A72,AES
60416,111.674,A72,AES
60544,112.064,A72,AES
60672,112.134,A72,AES
60800,112.568,A72,AES
60928,112.956,A72,AES
61056,112.75,A72,AES
61184,112.797,A72,AES
61312,113.482,A72,AES
61440,113.535,A72,AES
61568,113.667,A72,AES
61696,113.895,A72,AES
61824,114.394,A72,AES
61952,114.325,A72,AES
62080,114.303,A72,AES
62208,115.304,A72,AES
62336,114.958,A72,AES
62464,115.651,A72,AES
62592,115.264,A72,AES
62720,115.407,A72,AES
62848,116.047,A72,AES
62976,115.979,A72,AES
63104,116.216,A72,AES
63232,116.313,A72,AES
63360,116.658,A72,AES
63488,117.267,A72,AES
63616,117.212,A72,AES
63744,117.958,A72,AES
63872,118.402,A72,AES
64000,117.857,A72,AES
64128,118.01,A72,AES
64256,118.795,A72,AES
64384,118.768,A72,AES
64512,119.305,A72,AES
64640,119.441,A72,AES
64768,119.666,A72,AES
64896,120.384,A72,AES
65024,120.194,A72,AES
65152,120.388,A72,AES
65280,121.313,A72,AES
65408,120.801,A72,AES
65536,120.882,A72,AES
65664,121.114,A72,AES
65792,121.441,A72,AES
65920,121.321,A72,AES
66048,121.961,A72,AES
66176,121.833,A72,AES
66304,122.753,A72,AES
66432,122.494,A72,AES
66560,122.929,A72,AES
66688,123.215,A72,AES
66816,122.959,A72,AES
66944,123.252,A72,AES
67072,123.56,A72,AES
67200,123.991,A72,AES
67328,124.282,A72,AES
67456,124.548,A72,AES
67584,124.839,A72,AES
67712,124.917,A72,AES
67840,124.978,A72,AES
67968,125.148,A72,AES
68096,125.851,A72,AES
68224,125.971,A72,AES
68352,126.365,A72,AES
68480,126.734,A72,AES
68608,126.657,A72,AES
68736,126.497,A72,AES
68864,127.403,A72,AES
68992,127.147,A72,AES
69120,127.279,A72,AES
69248,127.539,A72,AES
69376,127.713,A72,AES
69504,128.563,A72,AES
69632,128.239,A72,AES
69760,129.38,A72,AES
69888,129.097,A72,AES
70016,128.936,A72,AES
70144,129.45,A72,AES
70272,129.792,A72,AES
70400,129.767,A72,AES
70528,130.201,A72,AES
70656,130.228,A72,AES
70784,130.629,A72,AES
70912,130.536,A72,AES
71040,132.059,A72,AES
71168,131.958,A72,AES
71296,131.572,A72,AES
71424,131.73,A72,AES
71552,131.808,A72,AES
71680,132.132,A72,AES
71808,133.065,A72,AES
71936,132.607,A72,AES
72064,133.31,A72,AES
72192,133.706,A72,AES
72320,134.088,A72,AES
72448,133.673,A72,AES
72576,134.301,A72,AES
72704,134.098,A72,AES
72832,134.375,A72,AES
72960,135.494,A72,AES
73088,134.887,A72,AES
73216,135.725,A72,AES
73344,135.363,A72,AES
73472,135.407,A72,AES
73600,136.048,A72,AES
73728,136.274,A72,AES
73856,136.983,A72,AES
73984,136.96,A72,AES
74112,137.158,A72,AES
74240,137.071,A72,AES
74368,137.211,A72,AES
74496,137.268,A72,AES
74624,137.263,A72,AES
74752,138.632,A72,AES
74880,138.614,A72,AES
75008,138.456,A72,AES
75136,138.495,A72,AES
75264,139.166,A72,AES
75392,139.293,A72,AES
75520,139.209,A72,AES
75648,139.329,A72,AES
75776,139.835,A72,AES
75904,140.183,A72,AES
76032,140.398,A72,AES
76160,140.793,A72,AES
76288,140.813,A72,AES
76416,141.509,A72,AES
76544,141.59,A72,AES
76672,141.565,A72,AES
76800,142.176,A72,AES
76928,141.842,A72,AES
77056,142.082,A72,AES
77184,142.508,A72,AES
77312,142.868,A72,AES
77440,143.139,A72,AES
77568,143.163,A72,AES
77696,143.234,A72,AES
77824,143.691,A72,AES
77952,143.575,A72,AES
78080,144.009,A72,AES
78208,144.119,A72,AES
78336,144.935,A72,AES
78464,145.275,A72,AES
78592,145.922,A72,AES
78720,145.456,A72,AES
78848,146.156,A72,AES
78976,146.264,A72,AES
79104,145.948,A72,AES
79232,146.269,A72,AES
79360,146.404,A72,AES
79488,146.934,A72,AES
79616,146.679,A72,AES
79744,147.263,A72,AES
79872,147.632,A72,AES
80000,148.041,A72,AES
80128,148.005,A72,AES
80256,147.882,A72,AES
80384,148.082,A72,AES
80512,148.676,A72,AES
80640,148.488,A72,AES
80768,149.016,A72,AES
80896,149.949,A72,AES
81024,149.502,A72,AES
81152,150.274,A72,AES
81280,150.32,A72,AES
81408,150.907,A72,AES
81536,150.325,A72,AES
81664,151.485,A72,AES
81792,151.573,A72,AES
81920,151.311,A72,AES
82048,151.862,A72,AES
82176,151.753,A72,AES
82304,151.929,A72,AES
82432,152.331,A72,AES
82560,152.302,A72,AES
82688,152.577,A72,AES
82816,153.16,A72,AES
82944,152.934,A72,AES
83072,153.611,A72,AES
83200,153.819,A72,AES
83328,154.78,A72,AES
83456,154.254,A72,AES
83584,154.892,A72,AES
83712,154.788,A72,AES
83840,154.942,A72,AES
83968,155.575,A72,AES
84096,155.219,A72,AES
84224,155.585,A72,AES
84352,155.584,A72,AES
84480,155.588,A72,AES
84608,156.077,A72,AES
84736,156.112,A72,AES
84864,156.9,A72,AES
84992,157.14,A72,AES
85120,157.38,A72,AES
85248,157.493,A72,AES
85376,157.413,A72,AES
85504,157.451,A72,AES
85632,157.972,A72,AES
85760,159.244,A72,AES
85888,159.199,A72,AES
86016,158.905,A72,AES
86144,159.858,A72,AES
86272,159.693,A72,AES
86400,159.224,A72,AES
86528,159.558,A72,AES
86656,160.243,A72,AES
86784,160.492,A72,AES
86912,160.736,A72,AES
87040,160.876,A72,AES
87168,160.621,A72,AES
87296,161.406,A72,AES
87424,161.854,A72,AES
87552,161.267,A72,AES
87680,162.235,A72,AES
87808,162.347,A72,AES
87936,161.953,A72,AES
88064,162.367,A72,AES
88192,163.478,A72,AES
88320,164.022,A72,AES
88448,163.773,A72,AES
88576,163.785,A72,AES
88704,164.239,A72,AES
88832,164.504,A72,AES
88960,165.092,A72,AES
89088,164.726,A72,AES
89216,165.072,A72,AES
89344,165.459,A72,AES
89472,165.424,A72,AES
89600,165.619,A72,AES
89728,166.113,A72,AES
89856,166.084,A72,AES
89984,166.757,A72,AES
90112,166.233,A72,AES
90240,166.571,A72,AES
90368,167.085,A72,AES
90496,167.178,A72,AES
90624,167.202,A72,AES
90752,167.332,A72,AES
90880,167.648,A72,AES
91008,167.857,A72,AES
91136,168.19,A72,AES
91264,168.844,A72,AES
91392,168.894,A72,AES
91520,168.724,A72,AES
91648,169.248,A72,AES
91776,169.22,A72,AES
91904,169.994,A72,AES
92032,170.503,A72,AES
92160,170.635,A72,AES
92288,170.728,A72,AES
