input,time_complexity,time,cpu,arch,program,cache_on
685,n^3,210.001948,Cortex-R5F,arm32,KF,1
694,n^3,217.502137,Cortex-R5F,arm32,KF,1
703,n^3,226.61393,Cortex-R5F,arm32,KF,1
712,n^3,256.55693,Cortex-R5F,arm32,KF,1
721,n^3,259.663871,Cortex-R5F,arm32,KF,1
730,n^3,264.6662,Cortex-R5F,arm32,KF,1
739,n^3,275.81768,Cortex-R5F,arm32,KF,1
748,n^3,284.940114,Cortex-R5F,arm32,KF,1
757,n^3,302.273085,Cortex-R5F,arm32,KF,1
766,n^3,311.920457,Cortex-R5F,arm32,KF,1
775,n^3,326.986336,Cortex-R5F,arm32,KF,1
784,n^3,334.48093,Cortex-R5F,arm32,KF,1
793,n^3,350.152106,Cortex-R5F,arm32,KF,1
802,n^3,365.381336,Cortex-R5F,arm32,KF,1
811,n^3,378.713396,Cortex-R5F,arm32,KF,1
820,n^3,391.433051,Cortex-R5F,arm32,KF,1
829,n^3,416.232496,Cortex-R5F,arm32,KF,1
838,n^3,427.732614,Cortex-R5F,arm32,KF,1
847,n^3,433.768366,Cortex-R5F,arm32,KF,1
856,n^3,453.828488,Cortex-R5F,arm32,KF,1
865,n^3,465.999972,Cortex-R5F,arm32,KF,1
874,n^3,486.745884,Cortex-R5F,arm32,KF,1
883,n^3,498.03914,Cortex-R5F,arm32,KF,1
892,n^3,520.165244,Cortex-R5F,arm32,KF,1
901,n^3,534.875787,Cortex-R5F,arm32,KF,1
910,n^3,557.43196,Cortex-R5F,arm32,KF,1
919,n^3,582.853,Cortex-R5F,arm32,KF,1
928,n^3,542.290596,Cortex-R5F,arm32,KF,1
937,n^3,610.362172,Cortex-R5F,arm32,KF,1
946,n^3,634.483589,Cortex-R5F,arm32,KF,1
955,n^3,655.215582,Cortex-R5F,arm32,KF,1
964,n^3,669.15046,Cortex-R5F,arm32,KF,1
973,n^3,691.282303,Cortex-R5F,arm32,KF,1
982,n^3,713.263574,Cortex-R5F,arm32,KF,1
991,n^3,750.166898,Cortex-R5F,arm32,KF,1
2,n^3,0.000018,Cortex-R5F,arm32,FFT,1
4,n^3,0.000028,Cortex-R5F,arm32,FFT,1
8,n^3,0.000028,Cortex-R5F,arm32,FFT,1
16,n^3,0.000038,Cortex-R5F,arm32,FFT,1
32,n^3,0.00007,Cortex-R5F,arm32,FFT,1
64,n^3,0.000139,Cortex-R5F,arm32,FFT,1
128,n^3,0.0003,Cortex-R5F,arm32,FFT,1
256,n^3,0.000672,Cortex-R5F,arm32,FFT,1
512,n^3,0.001512,Cortex-R5F,arm32,FFT,1
1024,n^3,0.003617,Cortex-R5F,arm32,FFT,1
2048,n^3,0.010558,Cortex-R5F,arm32,FFT,1
2,n^3,0.000018,Cortex-R5F,arm32,FFT,1
4,n^3,0.000023,Cortex-R5F,arm32,FFT,1
8,n^3,0.000028,Cortex-R5F,arm32,FFT,1
16,n^3,0.000039,Cortex-R5F,arm32,FFT,1
32,n^3,0.00007,Cortex-R5F,arm32,FFT,1
64,n^3,0.000141,Cortex-R5F,arm32,FFT,1
128,n^3,0.000303,Cortex-R5F,arm32,FFT,1
256,n^3,0.000672,Cortex-R5F,arm32,FFT,1
512,n^3,0.001511,Cortex-R5F,arm32,FFT,1
1024,n^3,0.003628,Cortex-R5F,arm32,FFT,1
2048,n^3,0.010561,Cortex-R5F,arm32,FFT,1
1,n^3,0.000012,Cortex-R5F,arm32,Matrix_Multiply,1
10,n^3,0.00005,Cortex-R5F,arm32,Matrix_Multiply,1
19,n^3,0.000249,Cortex-R5F,arm32,Matrix_Multiply,1
28,n^3,0.000796,Cortex-R5F,arm32,Matrix_Multiply,1
37,n^3,0.002032,Cortex-R5F,arm32,Matrix_Multiply,1
1,n^3,0.000011,Cortex-R5F,arm32,Matrix_Multiply,1
10,n^3,0.00005,Cortex-R5F,arm32,Matrix_Multiply,1
19,n^3,0.000255,Cortex-R5F,arm32,Matrix_Multiply,1
28,n^3,0.000824,Cortex-R5F,arm32,Matrix_Multiply,1
37,n^3,0.002054,Cortex-R5F,arm32,Matrix_Multiply,1
